,name,scores_summed
144,Mike Rogers,0.5550628968966592
195,Senator John Hoeven,0.5539246781914786
29,Rep. James Moylan,0.5309764593671689
244,Congresswoman Cori Bush,0.5240285435423582
69,Rep. Diana DeGette,0.49656805608482474
5,Rep. Jared Huffman,0.43028713665329643
83,Rep. Sylvia Garcia,0.41706761808298287
115,Rep. Zoe Lofgren,0.3663786333404605
193,Martin Heinrich,0.3644358819683615
236,Rep. Alma Adams,0.27599532636806057
88,Rep. Sam Graves,0.25614962565265964
371,Suzanne Bonamici,0.23049350700257631
231,Senator Chris Van Hollen,0.2106320436164077
350,Congressman Robert Garcia,0.1584447567041889
249,Rep. Rick Crawford,0.1492542565742585
130,Rep.Grace Napolitano,0.1389231417998601
373,Dave Joyce,0.13808998865514
399,Rep. Pete Aguilar,0.12149165124422084
374,Ruben Gallego,0.11508461941088799
227,Sen. Dan Sullivan,0.11483082021357163
368,"Ami Bera, M.D.",0.08860686641283846
21,Rep. Bill Huizenga,0.084909889849619
124,Rep. Carol Miller,0.06188990461418514
353,Rep. Glenn Ivey,0.06141202384016142
52,Buddy Carter,0.05570939983589622
320,Rep. Brandon Williams,0.05319524971121947
330,Senator Bob Menendez,0.03338240886822627
410,Rep. Bill Johnson,0.030110464824179284
205,Senator Cynthia Lummis,0.02075174804165969
294,Rep. Dean Phillips \ud83c\uddfa\ud83c\uddf8,0.020490395592002747
387,Adriano Espaillat,-0.01693362632892209
25,Rep. Mike Collins,-0.018894380760025697
324,Sherrod Brown,-0.024483602645533287
292,Gary Palmer,-0.03065927652257383
75,Chuck Fleischmann,-0.03784017216696073
194,Senator Mazie Hirono,-0.03860686355162102
363,Rep. Jim McGovern,-0.04936917663808599
169,Rep. Debbie Wasserman Schultz,-0.061958542378402814
150,Rep. Brad Schneider,-0.06617512147856297
90,Rep. Brett Guthrie,-0.06805176626767095
98,Sheila Jackson Lee,-0.0726384804644141
148,Jan Schakowsky,-0.09872748678166021
155,Congressman Brad Sherman,-0.11592791790944748
30,David Rouzer,-0.13177522551194543
10,Rep. Chris Stewart,-0.1623711199868151
270,Congressman Raja Krishnamoorthi,-0.17760590422116318
272,Darin LaHood,-0.1802292683663092
31,Michael F.Q. San Nicolas,-0.20022194957225448
118,Rep. Brian Mast,-0.2072639935776156
299,Rep. John Rutherford,-0.21999589596883085
250,Congresswoman Madeleine Dean,-0.22624422831492164
131,Rep. Dan Newhouse,-0.2718281347296244
328,Senator Dick Durbin,-0.2727534514748572
297,Rep. Jamie Raskin,-0.29859913896810875
120,Rich McCormick,-0.35125291793352376
199,Senator Angus King,-0.3532158536352947
254,Congressman Drew Ferguson,-0.3642081509025399
196,U.S. Senator Cindy Hyde-Smith,-0.38885327016742965
35,Senator Ben Sasse,-0.40191018136637074
181,Senator Cortez Masto,-0.4633155322602688
291,Rep. Frank Pallone,-0.5071701839142169
346,Judy Chu,-0.5143669191130608
255,Rep. Lois Frankel,-0.5258404790764698
27,Scott DesJarlais,-0.5523709854967029
198,Senator Ron Johnson,-0.5632643147199562
211,Rand Paul,-0.5820891079299556
126,Rep. John Moolenaar,-0.6052175784828075
170,Daniel Webster,-0.6085859085346518
216,Senator Mitt Romney,-0.6329320361658907
202,Sen. Patrick Leahy,-0.6335437661567996
39,Rep. Don Bacon \ud83c\uddfa\ud83c\uddf8,-0.6820296808132702
335,Rep. Anthony D\u2019Esposito,-0.6930835336915457
129,"Congressman Greg Murphy, M.D.",-0.7009190730280211
264,Richard Hudson Press,-0.7121532601014179
172,Rep. Bruce Westerman,-0.7260971706612904
143,CathyMcMorrisRodgers,-0.7618798247901719
239,Rep. Jodey Arrington,-0.7628143723711811
